,Learning_method,Role,Yearly_pay,Visualisation_tool,Charts,Organization_area,Undergraduate_major,Gender,Country,tool_Excel,tool_Tableau,tool_R,tool_ggplot2,tool_D3,tool_Python,tool_Pen&Paper,tool_Illustrator,tool_PowerBI,tool_Plotly,tool_Mapbox,tool_QGIS,tool_Leaflet,tool_ArcGIS,tool_Matplotlib,tool_React,chart_BarChart,chart_LineChart,chart_Scatterplot,chart_PieChart,chart_Hexbin/Heatmap,chart_Infographics,chart_Treemap,chart_FlowChart),chart_FlowDiagram(Sankey,chart_DAGRE,chart_ChoroplethMap,chart_NetworkDiagram,chart_PictorialVisualization,chart_Force-DirectedGraph,chart_RasterMap
1086,Mostly Self-Taught,Other,$60k - $80k,"D3,Excel,ggplot2,Illustrator,Mapbox,QGIS,R,WebComponents,Pen&Paper,VanillaJavascript","BarChart,Scatterplot,Hexbin/Heatmap,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),SwarmChart",Journalism,Journalism,Woman,USA,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,no,no,no,no
1087,Mostly Self-Taught,Analyst,$20k - $40k,"Excel,ggplot2,Plotly,QGIS,R","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,ChoroplethMap,RasterMap",Not-for-profit,Zoology,Woman,United Kingdom,yes,no,yes,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,yes
1088,Mostly Self-Taught,Analyst,< $20k,"ArcGIS,Excel,ggplot2,QGIS,R","LineChart,BarChart,PieChart,Scatterplot,Infographics,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Not-for-profit,Economics,Woman,Mexico,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no
1089,Mostly Self-Taught,Developer,$120k - $140k,"R,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,FlowDiagram(Sankey,DAGRE,FlowChart),Ternaryplot,histogram,boxplot,barbell",Private sector,Art history,Woman,USA,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no
1090,Mostly Self-Taught,Developer,$100k - $120k,"Cytoscape,D3,Gephi,Highcharts,Leaflet,Mapbox,Plotly,Python,Otherphysicalmaterials,P5/Processing","LineChart,BarChart,Treemap,NetworkDiagram,venndiagram,upsetplot",Academic,English Literature; Math/Computer Science,Woman,USA,no,no,no,no,yes,yes,no,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no
1091,Mostly Self-Taught,Developer,$60k - $80k,"D3,Excel,Highcharts,Leaflet,Mapbox,Plotly,Otherphysicalmaterials","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,ChoroplethMap",Not-for-profit,History,Woman,USA,yes,no,no,no,yes,no,no,no,no,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no
1092,Mostly Self-Taught,Academic,$80k - $100k,"Excel,Tableau","LineChart,Scatterplot,Hexbin/Heatmap,Treemap",Academic,business,Woman,USA,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no
1095,Mostly Self-Taught,Analyst,$60k - $80k,"ArcGIS,Excel","LineChart,BarChart,PieChart",Public sector,Psychology,Woman,USA,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
1096,Mostly Self-Taught,Leadership,$60k - $80k,"PowerBI,Pen&Paper","LineChart,BarChart,PieChart,Infographics,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Sociology,Woman,USA,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,no
1101,Equal Parts School and Self-Taught,Designer,$20k - $40k,"D3,Excel,ggplot2,Leaflet,Plotly,Qlik,R,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics",Private sector,Business Administration,Woman,Spain,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no
