,Learning_method,Role,Yearly_pay,Visualisation_tool,Charts,Organization_area,Undergraduate_major,Gender,Country,tool_Excel,tool_Tableau,tool_R,tool_ggplot2,tool_D3,tool_Python,tool_Pen&Paper,tool_Illustrator,tool_PowerBI,tool_Plotly,tool_Mapbox,tool_QGIS,tool_Leaflet,tool_ArcGIS,tool_Matplotlib,tool_React,chart_BarChart,chart_LineChart,chart_Scatterplot,chart_PieChart,chart_Hexbin/Heatmap,chart_Infographics,chart_Treemap,chart_FlowChart),chart_FlowDiagram(Sankey,chart_DAGRE,chart_ChoroplethMap,chart_NetworkDiagram,chart_PictorialVisualization,chart_Force-DirectedGraph,chart_RasterMap
585,Mostly From School (or other formal courses),Academic,$20k - $40k,"Excel,PowerBI,Python,Tableau","LineChart,BarChart,PieChart,Scatterplot,Infographics,Treemap",Public sector,Humanities,Man,India,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no
586,Mostly Self-Taught,Other,$100k - $120k,"Excel,PowerBI","LineChart,BarChart,PieChart,Scatterplot",Private sector,Physics,Man,United Kingdom,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no
588,Mostly Self-Taught,Engineer,$20k - $40k,"ArcGIS,Cytoscape,D3,Angular,Excel,Plotly,Python,R,WebComponents,WebGL,Canvas,Matplotlib","LineChart,BarChart,PieChart,Infographics,Dendrogram,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart),VR/ARCharts",Academic,Computer Sciences and Engineer,Man,Mexico,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,no,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no
589,Mostly Self-Taught,Leadership,$20k - $40k,"Excel,ggplot2,QGIS,R","LineChart,BarChart,Scatterplot,Treemap,Dendrogram",Public sector,Political Science,Man,Mexico,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no
590,Mostly Self-Taught,Leadership,$40k - $60k,"Excel,Python,WebComponents","LineChart,PieChart",Private sector,Engineering ,Man,USA,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
591,Mostly Self-Taught,Engineer,$60k - $80k,"Excel,ggplot2,R,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot",Private sector,Mech. Engineering,Man,USA,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
592,Mostly Self-Taught,Developer,$120k - $140k,"D3,Excel,Python,React,Semiotic,WebGL","LineChart,BarChart,Scatterplot,SwarmChart",Private sector,Education,Man,USA,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
594,Mostly Self-Taught,Designer,$40k - $60k,"D3,Illustrator,Mapbox,React,WebGL,Pen&Paper","LineChart,BarChart,Infographics,Treemap,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Private sector,Economics,Man,Netherlands,no,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,no,yes,no
595,Mostly Self-Taught,Engineer,$140k - $160k,"D3,Illustrator,Leaflet,Mapbox,Python,QGIS,React,Pen&Paper,Canvas","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,ChoroplethMap,SwarmChart,Force-DirectedGraph,Cartogram,CirclePack,tables",Private sector,Fine Art and Geography,Man,USA,no,no,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,yes,no
596,Mostly Self-Taught,Engineer,$200k+,"D3,ggplot2,Python,R,Vega,WebGL,Pen&Paper,Canvas","PieChart,RasterMap,Force-DirectedGraph",Private sector,math,Man,USA,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes
597,Mostly Self-Taught,Scientist,$200k+,"D3,Excel,Python","LineChart,BarChart,PieChart,Scatterplot",Private sector,Astrophysics,Man,USA,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no
598,Mostly Self-Taught,Designer,$100k - $120k,"D3,Excel,Illustrator,R,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,Dendrogram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),SwarmChart,Force-DirectedGraph",Journalism,Studio Art,Man,USA,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,yes,no
599,Mostly Self-Taught,Other,$80k - $100k,"D3,ggplot2,Illustrator,QGIS,R,WebGL,Canvas","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),SwarmChart,Force-DirectedGraph,Barbellplot,areachart,joyplot,cartogram,wartplot,probablysomeotherstuff",Journalism,polisci,Man,USA,no,no,yes,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,no
601,Mostly Self-Taught,Leadership,$140k - $160k,"D3,Ember.js",NetworkDiagram,Private sector,Philosophy,Man,Canada,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
602,Mostly Self-Taught,Leadership,$200k+,handdrawnwithadobeDirector,"LineChart,BarChart,PictorialVisualization",Private sector,graphic design,Man,USA,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no
604,Mostly Self-Taught,Developer,$120k - $140k,"ArcGIS,D3,Highcharts,Processing,Python,R,React,Vue,WebGL,Greensock,Canvas,P5/Processing",Infographics,Private sector,Art and Design,Man,USA,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
605,Equal Parts School and Self-Taught,Developer,$80k - $100k,"ArcGIS,D3,Mapbox,kepler.gl,Python,React,Semiotic,CARTO","LineChart,PieChart,ChoroplethMap,SwarmChart,ParallelCoordinatesChart",Not-for-profit,Computer Science,Man,USA,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no
606,Mostly Self-Taught,Analyst,$60k - $80k,"Excel,PowerBI,Tableau","LineChart,BarChart,PieChart,Scatterplot,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,economics,Man,USA,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no
607,Equal Parts School and Self-Taught,Academic,$100k - $120k,"ArcGIS,D3,Excel,ggplot2,Highcharts,Illustrator,Leaflet,Mapbox,QGIS,R,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,ChoroplethMap,RasterMap,3DCharts",Academic,Landscape Architecture and Env. Design,Man,USA,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,yes
608,Mostly Self-Taught,Engineer,$120k - $140k,"ArcGIS,D3,Excel,Highcharts,Plotly,PowerBI,Python,Tableau,WebComponents,Matplotlib,Spotfire","LineChart,BarChart,Scatterplot,Dendrogram,NetworkDiagram",Private sector,Engineering,Man,USA,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no
610,Mostly Self-Taught,Leadership,$60k - $80k,"ArcGIS,ggplot2,PowerBI,R,Tableau,SAS,Cognos","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,Treemap,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),Gantt",Public sector,Mathematics ,Man,USA,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no
613,Mostly Self-Taught,Leadership,$120k - $140k,"D3,Excel,ggplot2,Highcharts,Illustrator,Leaflet,Mapbox,Plotly,R,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,ChoroplethMap",Journalism,Journalism ,Man,USA,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no
614,Mostly Self-Taught,Leadership,$200k+,"D3,Excel,Illustrator,Python,React,Tableau,Vue","LineChart,BarChart,PieChart,Scatterplot,Infographics",Finance ,Civil engineering ,Man,USA,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no
615,Mostly Self-Taught,Other,$80k - $100k,"D3,Excel,Illustrator,QGIS,WebComponents,WebGL,Pen&Paper,Otherphysicalmaterials,Canvas,Blender","LineChart,BarChart,ChoroplethMap,RasterMap",Journalism,photojournalism,Man,USA,yes,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes
616,Mostly Self-Taught,Analyst,$80k - $100k,"D3,ggplot2,Illustrator,Leaflet,Plotly,QGIS,R,React,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Treemap,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Public sector,Digital humanities,Man,Norway,no,no,yes,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,yes,no
617,Equal Parts School and Self-Taught,Engineer,$60k - $80k,"D3,ggplot2,Plotly,R","LineChart,BarChart,PictorialVisualization",Professional Sports Team,Electrical and Computer Engineering,Man,USA,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no
618,Mostly From School (or other formal courses),Scientist,$40k - $60k,"D3,Java,Leaflet,Mapbox,Plotly,Python,QGIS,R,WebGL,Canvas","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,Treemap,Dendrogram,NetworkDiagram,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart),3DCharts,VR/ARCharts",Academic,Ecology and evolution ,Man,Canada,no,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes
619,Mostly Self-Taught,Analyst,$60k - $80k,"D3,Leaflet,Mapbox,kepler.gl,QGIS,R,WebGL,Datawrapper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,ChoroplethMap,SwarmChart",Public sector,Mathematics,Man,United Kingdom,no,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no
620,Equal Parts School and Self-Taught,Engineer,$40k - $60k,"D3,PowerBI,Matplotlib","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Radar,boxplot",Private sector,Computing,Man,United Kingdom,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no
621,Mostly Self-Taught,Developer,$60k - $80k,"D3,React,WebComponents,Canvas","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,PictorialVisualization,Treemap,Dendrogram,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),VR/ARCharts,SwarmChart,Force-DirectedGraph",Private sector,Computer Science,Man,United Kingdom,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no
623,Mostly Self-Taught,Analyst,$180k - $200k,decksh,"LineChart,BarChart",Private sector,Computer Technology,Man,USA,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
625,Mostly Self-Taught,Analyst,$80k - $100k,"Excel,ggplot2,Plotly,PowerBI,R,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,FlowDiagram(Sankey,DAGRE,FlowChart)",Federally owned utility,Physics,Man,USA,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no
626,Mostly Self-Taught,Academic,< $20k,"Excel,ggplot2,Plotly,Python,QGIS,R","LineChart,BarChart,PieChart,Scatterplot,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart),3DCharts",Academic,Electronics and Communication Engineering ,Man,India ,yes,no,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,no
627,Mostly Self-Taught,Analyst,$80k - $100k,"Excel,ggplot2,Plotly,Qlik,R","LineChart,BarChart,Scatterplot,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Economics,Man,United Kingdom,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,no
628,Mostly Self-Taught,Leadership,$100k - $120k,"Excel,ggplot2,PowerBI,R,Tableau","LineChart,BarChart,PieChart,Scatterplot,Infographics,Dendrogram,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Marketing; Supply Chain,Man,USA,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no
629,Mostly Self-Taught,Student,$20k - $40k,"Excel,ggplot2,R,Tableau","LineChart,Scatterplot,NetworkDiagram,densityplot,boxplot",Academic,anthropology,Man,USA,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no
630,Equal Parts School and Self-Taught,Engineer,$100k - $120k,"Excel,ggplot2,R,Tableau","LineChart,BarChart,Scatterplot",Private sector,Poli sci,Man,USA,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
631,Mostly Self-Taught,Designer,$40k - $60k,"Excel,Illustrator,Qlik,Pen&Paper","LineChart,BarChart,PieChart,Infographics,PictorialVisualization,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Business,Man,USA,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no
633,Mostly Self-Taught,Leadership,$120k - $140k,"Excel,Pen&Paper","LineChart,BarChart,Scatterplot,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Business,Man,USA,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no
635,Mostly Self-Taught,Leadership,$40k - $60k,"Excel,Python","LineChart,BarChart,PieChart,Scatterplot,Infographics,FlowDiagram(Sankey,DAGRE,FlowChart)",Academic,Engineering & Business Systems,Man,USA,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no
636,Mostly Self-Taught,Analyst,$60k - $80k,"Excel,R,Tableau,Pen&Paper,Alteryx","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,FlowDiagram(Sankey,DAGRE,FlowChart)",Not-for-profit,Biological Sciences,Man,United Kingdom,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,yes,no,no
637,Mostly Self-Taught,Analyst,< $20k,"Excel,Tableau","LineChart,BarChart,PieChart,Scatterplot,Treemap,WordCloud",Banking,Automation,Man,India,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no
638,Mostly Self-Taught,Analyst,$100k - $120k,"Excel,Tableau","LineChart,BarChart,Hexbin/Heatmap,PictorialVisualization,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Nuclear engineering ,Man,USA,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,yes,yes,yes,no,no,yes,no,no
639,Mostly Self-Taught,Analyst,$60k - $80k,"Excel,Tableau","LineChart,BarChart,Scatterplot",Private sector,History ,Man,USA,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
640,Mostly Self-Taught,Analyst,$80k - $100k,"Excel,Tableau","LineChart,BarChart,PieChart",Private sector,Music,Man,USA,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
641,Mostly Self-Taught,Analyst,$60k - $80k,"ggplot2,Mapbox,Plotly,Python,R,React,Matplotlib","LineChart,BarChart,Scatterplot,NetworkDiagram,ChoroplethMap",Private sector,Physics ,Man,USA,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no
644,Equal Parts School and Self-Taught,Other,< $20k,"ggplot2,R",LineChart,Private sector,Political Science,Man,Mexico,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
645,Mostly Self-Taught,Scientist,$40k - $60k,"Illustrator,Python,Vega","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,NetworkDiagram,3DCharts,VR/ARCharts,SwarmChart,Force-DirectedGraph",Public sector,Chemistry,Man,USA,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no,yes,no
646,Mostly Self-Taught,Leadership,$140k - $160k,"Mapbox,PowerBI","LineChart,BarChart,Scatterplot,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Computer information systems,Man,USA,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,no
650,Mostly Self-Taught,Engineer,< $20k,"PowerBI,Python,Tableau","LineChart,BarChart,Treemap,NetworkDiagram",Private sector,Information Technology,Man,India,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no
652,Mostly Self-Taught,Engineer,$120k - $140k,"Python,Matplotlib,Seaborn","LineChart,Scatterplot,Treemap,RasterMap",Private sector,Engineering ,Man,Germany,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes
653,Mostly Self-Taught,Scientist,$80k - $100k,"Python,Pen&Paper,Matplotlib","LineChart,Scatterplot,3DCharts",Public sector,Physics,Man,USA,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
655,Mostly Self-Taught,Developer,$20k - $40k,SAPBO,"LineChart,BarChart,Treemap",Private sector,Computer Science,Man,India,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no
657,Mostly Self-Taught,Developer,$160k - $180k,"D3,Mapbox,React,WebGL,Canvas","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,Dendrogram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),SwarmChart,Force-DirectedGraph",Private sector,Philosophy and music,Man,USA,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,yes,no
658,Equal Parts School and Self-Taught,Academic,$80k - $100k,"D3,Mapbox,Python,React,Tableau,Vega","LineChart,BarChart,Scatterplot,Treemap,Dendrogram,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),SwarmChart,Force-DirectedGraph,Custom",Academic,Computer Science,Man,Colombia,no,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,no
659,Mostly Self-Taught,Analyst,$60k - $80k,"Excel,ggplot2,Illustrator,R,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,Treemap,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Academic,Business administration,Man,USA,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes
660,Mostly Self-Taught,Developer,$80k - $100k,"PowerBI,Python,R,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap",Public sector,Kinesiology,Man,Canada,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no
662,Mostly Self-Taught,Academic,$40k - $60k,"Excel,Illustrator,Processing,Semiotic,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Infographics",Academic,Semiotics,Man,Spain,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
663,Mostly Self-Taught,Academic,< $20k,"D3,Angular,Gephi,Highcharts,Leaflet,Plotly,Python,Vue,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,Treemap,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Both Academic and Journalism,Computer Science,Man,Cuba,no,no,no,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
664,Equal Parts School and Self-Taught,Other,$60k - $80k,"Excel,Java,Python,QGIS,Pen&Paper,Otherphysicalmaterials,Canvas,Datacubes","LineChart,BarChart,PieChart,Infographics,PictorialVisualization,mapdata",Private sector,"maths, stats and computing",Man,United Kingdom,yes,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,no
666,Equal Parts School and Self-Taught,Developer,$80k - $100k,"ggplot2,Highcharts,Plotly,R,Tableau,EPICEHR","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,Dendrogram,FlowDiagram(Sankey,DAGRE,FlowChart)",Academic,Mathematics ,Man,USA,no,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no
667,Mostly Self-Taught,Designer,$100k - $120k,"D3,Excel,Illustrator,Plotly,Python,QGIS,Tableau","LineChart,BarChart,PieChart,Scatterplot,Infographics,PictorialVisualization,Treemap,ChoroplethMap",Journalism,Painting and drawing,Man,USA,yes,yes,no,no,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,no,yes,no,no
668,Mostly Self-Taught,Student,< $20k,"D3,WebGL,Pen&Paper","BarChart,PieChart,Scatterplot,ChoroplethMap",Academic,Computer Engineering,Man,USA,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no
669,Mostly From School (or other formal courses),Analyst,$40k - $60k,"Excel,Tableau",BarChart,Private sector,Political Science,Man,USA,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
670,Mostly Self-Taught,Leadership,$120k - $140k,"Excel,Tableau,Pen&Paper","LineChart,BarChart,PieChart,Infographics,Treemap",Public sector,Special Education,Man,USA,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no
671,Equal Parts School and Self-Taught,Academic,$100k - $120k,"Excel,Tableau","LineChart,BarChart,Scatterplot,Infographics",Academic,Civil Engineering,Man,USA,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
672,Mostly Self-Taught,Analyst,$60k - $80k,"Excel,PowerBI,Tableau,SAPWebI","LineChart,BarChart,Scatterplot,Treemap",Medical IT,Mathematics and Statistics,Man,USA,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no
673,Mostly Self-Taught,Analyst,$40k - $60k,"Excel,QGIS,Tableau","LineChart,BarChart,PieChart,Scatterplot",Private sector,Geography,Man,United Kingdom,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no
674,Mostly Self-Taught,Engineer,$100k - $120k,"Excel,ggplot2,PowerBI,R","LineChart,BarChart",Private sector,Industrial Engineering,Man,USA,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
675,Mostly Self-Taught,Designer,$40k - $60k,"D3,Excel,Gephi,Illustrator,Leaflet,Mapbox,QGIS,Vue,Pen&Paper","LineChart,BarChart,PieChart,Infographics,PictorialVisualization,Treemap,NetworkDiagram,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph,Gantt/timelinechart,Venndiagram,customdatavisuals(manuallyconstructed)",Not-for-profit,Architecture,Man,Lebanon,yes,no,no,no,yes,no,yes,yes,no,no,yes,yes,yes,no,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
676,Mostly Self-Taught,Leadership,$80k - $100k,"ggplot2,Gephi,Illustrator,Plotly,R,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Academic,Engineering,Man,Canada,no,yes,yes,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no
677,Mostly Self-Taught,Analyst,$40k - $60k,"Excel,Python,Tableau,Pen&Paper,Alteryx","LineChart,BarChart,PieChart,Scatterplot,ChoroplethMap",Private sector,Sustainable Energy Technology,Man,Germany,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no
678,Mostly Self-Taught,Developer,$120k - $140k,Qlik,"LineChart,BarChart,Scatterplot,Treemap",Public sector,Information Systems ,Man,USA,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no
